the_geom,COMPLEXID,SAFTYPE,SEGMENTID,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
POINT (-74.13100257223623 40.60478163166406),0,,8123,2,19075,4,5106948,5,05/14/2009 12:00:00 AM +0000,12/16/2014 12:00:00 AM +0000,2,NYPD,,5023974,ST RITA SCHOOL
POINT (-74.08609397675302 40.631264566633654),0,,107950,2,11672,4,5106889,5,05/14/2009 12:00:00 AM +0000,12/16/2014 12:00:00 AM +0000,2,NYPD,,5018366,OUR LADY OF GOOD COUNSEL SCHOOL
POINT (-73.98495231274593 40.63462304717335),0,,21351,1,11440,6,3128285,3,05/14/2009 12:00:00 AM +0000,12/22/2014 12:00:00 AM +0000,2,EMS,,3169303,BETH JACOB BORO PARK HS
POINT (-73.95288966100794 40.705072872536086),0,,31057,2,10284,2,3060902,3,05/14/2009 12:00:00 AM +0000,12/22/2014 12:00:00 AM +0000,5,DoITT,,3077523,BEDFORD HARRISON DAY CARE CENTER
POINT (-73.93510635957969 40.85294889374974),0,,71137,2,17228,2,1081887,1,05/14/2009 12:00:00 AM +0000,12/22/2014 12:00:00 AM +0000,9,NYPD,,1057706,KHAL ADATH TESHURUN CONGREGATION
POINT (-73.93505986227015 40.85301107187303),0,,71137,2,12264,4,1081887,1,05/14/2009 12:00:00 AM +0000,12/22/2014 12:00:00 AM +0000,2,NYPD,,1057706,RABBI SAMSON RAPHAEL HIRSCH YESHIVA
POINT (-73.99896082665752 40.64252955803075),0,,21080,2,11477,4,3337205,3,05/14/2009 12:00:00 AM +0000,12/22/2014 12:00:00 AM +0000,2,EMS,,3015737,TOMER DVORA SCHOOL FOR GIRLS
POINT (-74.00802813396747 40.72763170944529),0,,325444,2,1028952,4,1010378,1,12/15/2016 12:00:00 AM +0000,02/26/2021 12:00:00 AM +0000,3,OTHER,,1013114,CHILDRENS MUSEUM OF THE ARTS
POINT (-73.97324083597293 40.75736976663209),0,,165394,1,15246,1,1036450,1,05/14/2009 12:00:00 AM +0000,11/28/2016 12:00:00 AM +0000,9,NYPD,,1031274,ST BARTHOLOMEWS CHURCH
POINT (-73.80100565693652 40.705035402243205),0,,57445,1,13966,7,4208858,4,05/14/2009 12:00:00 AM +0000,11/28/2016 12:00:00 AM +0000,4,EMS,,232010,JAMAICA YMCA
POINT (-73.90712174589021 40.66043925842603),0,N,43982,1,10797,10,3082389,3,05/14/2009 12:00:00 AM +0000,03/19/2020 12:00:00 AM +0000,2,DOE,30026301,3110159,PS 41 FRANCIS WHITE
POINT (-73.97232953037053 40.7569557443477),0,,35978,1,16895,2,1036459,1,05/14/2009 12:00:00 AM +0000,11/28/2016 12:00:00 AM +0000,7,NYPD,,1031287,AIR INDIA
POINT (-73.90559762693073 40.881492819534934),0,N,80815,1,10976,1,2083564,2,05/14/2009 12:00:00 AM +0000,11/24/2014 12:00:00 AM +0000,2,DOE,20033101,5131130,PS 007 KINGSBRIDGE
POINT (-73.93920846472196 40.803039816693826),266,G,9000159,2,12775,3,0,1,05/14/2009 12:00:00 AM +0000,04/25/2013 12:00:00 AM +0000,1,NYCHA,11127501,0,PARK AVE E 122ND 123RD ST HOUSES
POINT (-73.97145204432753 40.694475422154945),0,N,30186,2,1011684,2,3058088,3,03/20/2012 12:00:00 AM +0000,03/19/2020 12:00:00 AM +0000,2,DOE,30023101,5131450,FORT GREENE PREPARATORY ACADEMY
POINT (-73.97228263346265 40.75702784243751),0,,35978,1,17063,2,1036459,1,05/14/2009 12:00:00 AM +0000,11/28/2016 12:00:00 AM +0000,13,NYPD,,1031287,GENERAL ELECTRIC BUILDING
POINT (-73.84712687539343 40.728759926065905),0,,82443,1,15975,7,4051865,4,05/14/2009 12:00:00 AM +0000,11/28/2016 12:00:00 AM +0000,4,DoITT,,58035,CENTRAL QUEENS YM&YWHA
POINT (-73.95314221980964 40.703914308140284),0,,31041,1,1014852,10,3061064,3,07/19/2012 12:00:00 AM +0000,03/19/2020 12:00:00 AM +0000,2,DOE,,5132070,BEGINNING WITH CHILDREN CHARTER SCHOOL 2 HEYWARD ST
POINT (-73.94074571204591 40.686335274791766),0,,43046,2,1022824,2,3051540,3,10/17/2013 12:00:00 AM +0000,03/19/2020 12:00:00 AM +0000,2,DOE,,3064732,UNITY PREP CHARTER MIDDLE SCHOOL
POINT (-73.95970899031636 40.71176254284633),0,,30768,1,1022825,1,3063128,3,10/17/2013 12:00:00 AM +0000,03/19/2020 12:00:00 AM +0000,2,DOE,,5131949,SUCCESS ACADEMY CHARTER SCHOOL WILLIAMSBURG
POINT (-73.91878946863689 40.68787476474304),0,,43685,2,2883,4,3077130,3,05/14/2009 12:00:00 AM +0000,02/26/2021 12:00:00 AM +0000,7,NYPD,,3312443,NEPTUNE HOTEL
POINT (-73.9516550874896 40.65635651352188),0,N,28615,1,1013344,10,3378201,3,06/08/2012 12:00:00 AM +0000,08/31/2020 12:00:00 AM +0000,2,DOE,30111201,3154274,EXPLORE CHARTER SCHOOL
POINT (-73.92181570057252 40.68001967190561),0,,9001030,1,1034989,1,3041214,3,03/18/2020 12:00:00 AM +0000,03/19/2020 12:00:00 AM +0000,2,OTHER,,3050910,PS 28 THE WARREN PREP ACADEMY
POINT (-74.19323417688231 40.53407637936376),0,,159515,2,5689,2,5083401,5,05/14/2009 12:00:00 AM +0000,04/08/2013 12:00:00 AM +0000,3,DoITT,,5109358,HUGUENOT PARK LIBRARY
POINT (-73.95672997193779 40.782701249776565),0,,166057,1,3227,1,1046973,1,05/14/2009 12:00:00 AM +0000,02/26/2021 12:00:00 AM +0000,9,NYPD,,0,ST THOMAS MORE CHURCH
POINT (-74.19681400930524 40.6418075484077),0,,321726,2,8801,2,0,8,05/14/2009 12:00:00 AM +0000,03/16/2020 12:00:00 AM +0000,12,NOAA,,0,ELIZABETH RIVER
